all,LM,GI,HW
bum,defamatory,counteract,
bungle,defame,counteraction,
burden,defamed,counterfeit,
burden#1,defames,covert,
burden#2,defaming,covet,
burdened,default,coward,
burdening,defaulted,crafty,
burdens,defaulting,cram,
burdensome,defaults,cramp,
burglar,defeat,cranky,
burglary,defeated,crass,
burn#1,defeating,crave,
burn#2,defeats,crawl#2,
burn#3,defect,craze,
burn#4,defective,craziness,
burned,defects,crazy,
bury,defend,credulous,
busybody,defendant,crime,
butchery,defendants,criminal,
calamities,defended,cringe,
calamitous,defending,cripple,
calamity,defends,crisis,
callous,defensive,critic,
cancel,defer,criticize,
canceled,deficiencies,croak,
canceling,deficiency,crook,
cancellation,deficient,crooked,
cancellations,deficit,cross#3,
cancelled,deficits,cross#6,
cancelling,defraud,cross#7,
cancels,defrauded,crude,
cancer,defrauding,cruel,
cannibal,defrauds,cruelty,
cannon,defunct,crumble,
cannot,degradation,crumple,
can't,degradations,crush#1,
capital#2,degrade,crush#2,
capitulate,degraded,crushing,
capricious,degrades,culpable,
capsize,degrading,culprit,
captive,delay,cumbersome,
capture#1,delayed,curse#1,
capture#2,delaying,curse#2,
careen,delays,cursory,
careless,deleterious,curt,
carelessly,deliberate,curtail,
carelessness,deliberated,cut#1,
cast#1,deliberately,cut#2,
casualty,delinquencies,cynical,
cataclysm,delinquency,cynicism,
catastrophe,delinquent,damage#1,
catastrophes,delinquently,damage#2,
catastrophic,delinquents,damn,
catastrophically,delist,damnable,
catch#3,delisted,damned,
caught#1,delisting,danger,
caution,delists,dangerous,
cautionary,demise,dark,
cautioned,demised,darken,
cautioning,demises,darkness,
cautions,demising,darn,
cave#2,demolish,daunting,
cease,demolished,dawdle,
ceased,demolishes,daze,
ceases,demolishing,dead,
ceasing,demolition,deadlock,
censor,demolitions,deadly,
censorship,demote,deadweight,
censure,demoted,deaf,
censured,demotes,deafness,
censures,demoting,deal#6,
censuring,demotion,dearth,
chafe,demotions,death,
challenge,denial,debatable,
challenge#1,denials,debtor,
challenge#2,denied,decadence,
challenged,denies,decadent,
challenges,denigrate,decay#1,
challenging,denigrated,decay#2,
chaos,denigrates,decease,
chaotic,denigrating,deceit,
charge#2,denigration,deceitful,
charge#3,deny,deceive#1,
charge#6,denying,deceive#2,
charge#7,deplete,deception,
chargeoffs,depleted,deceptive,
chase#1,depletes,decline#1,
chase#2,depleting,decline#2,
chastise,depletion,decompose,
cheap,depletions,decrease#1,
cheapen,deprecation,decrease#2,
cheat#2,depress,defame,
cheater,depressed,default,
chide,depresses,defeat#1,
childish,depressing,defeat#2,
chip#2,deprivation,defect,
choke#1,deprive,defective,
choke#2,deprived,defendant,
chore,deprives,defensive,
chronic,depriving,defiance,
circle#3,derelict,defiant,
circumvent,dereliction,deficiency,
circumvented,derogatory,deficient,
circumventing,destabilization,deficit,
circumvention,destabilize,defile,
circumventions,destabilized,defy,
circumvents,destabilizing,degenerate,
claiming,destroy,degrade,
claims,destroyed,dejected,
clamor,destroying,delay#1,
clamorous,destroys,delay#2,
clash,destruction,delinquency,
clatter,destructive,delinquent,
clawback,detain,delirium,
cling,detained,deluge,
clique,detention,delusion,
clog,detentions,demean,
close#2,deter,demise,
close#7,deteriorate,demolish,
closed,deteriorated,demon,
closeout,deteriorates,demoralize,
closeouts,deteriorating,denial,
closing,deterioration,denounce,
closings,deteriorations,dent,
closure,deterred,deny,
closures,deterrence,dependent,
club#2,deterrences,deplete,
club#3,deterrent,deplorable,
clumsy,deterrents,deplore,
clung,deterring,depose,
clutter,deters,depraved,
coarse,detract,depreciate,
coarseness,detracted,depreciation,
cockiness,detracting,depress#1,
cocky,detriment,depress#2,
coerce,detrimental,depress#3,
coerced,detrimentally,depression#1,
coerces,detriments,depression#2,
coercing,devalue,deprive,
coercion,devalued,deride,
coercive,devalues,derision,
cold#1,devaluing,derisive,
cold#2,devastate,derogatory,
cold#3,devastated,desert#2,
cold#6,devastating,desert#4,
collapse,devastation,desertion,
collapse#1,deviate,desire#3,
collapse#2,deviated,desolate,
collapsed,deviates,desolation,
collapses,deviating,despair#1,
collapsing,deviation,despair#2,
collide,deviations,desperate,
collision,devolve,desperation,
collisions,devolved,despicable,
collude,devolves,despise#1,
colluded,devolving,despise#2,
colludes,difficult,destitute,
colluding,difficulties,destroy,
collusion,difficultly,destruction,
collusions,difficulty,destructive,
collusive,diminish,detachment,
colony,diminished,detain,
combat#1,diminishes,deter,
combat#2,diminishing,deterrent,
combatant,diminution,detest,
commiseration,disadvantage,detestable,
commit#1,disadvantaged,detract,
commoner,disadvantageous,detrimental,
commonplace,disadvantages,devastate,
commotion,disaffiliation,devastation,
compel#1,disagree,deviate,
compel#2,disagreeable,deviation,
compete,disagreed,devil,
competition,disagreeing,devilish,
competitive,disagreement,devious,
competitor,disagreements,devoid,
complain,disagrees,diabolic,
complained,disallow,diabolical,
complaining,disallowance,dictate,
complains,disallowances,dictatorial,
complaint,disallowed,differ,
complaints,disallowing,difficult,
complex,disallows,difficulty,
complexity,disappear,dilemma,
complicate,disappearance,dim#1,
complicate#1,disappearances,dim#2,
complicate#2,disappeared,din,
complicated,disappearing,dire,
complicates,disappears,dirt,
complicating,disappoint,dirty,
complication,disappointed,disable,
complications,disappointing,disadvantage,
complicity,disappointingly,disadvantageous,
compulsion,disappointment,disagreeable,
conceal,disappointments,disagreement,
concealed,disappoints,disappoint#1,
concealing,disapproval,disappoint#2,
concede,disapprovals,disappoint#3,
conceded,disapprove,disappoint#4,
concedes,disapproved,disappointment,
conceding,disapproves,disapproval,
conceit,disapproving,disapprove,
concern,disassociates,disarm,
concern#1,disassociating,disaster,
concern#2,disassociation,disastrous,
concerned,disassociations,disavow,
concerns,disaster,disavowal,
conciliating,disasters,disbelief,
conciliation,disastrous,discharge#1,
conciliations,disastrously,discharge#2,
condemn,disavow,disclaim,
condemn#1,disavowal,discomfort,
condemn#2,disavowed,disconcerted,
condemnation,disavowing,discontent,
condemnations,disavows,discord,
condemned,disciplinary,discordant,
condemning,disclaim,discourage#1,
condemns,disclaimed,discourage#2,
condescending,disclaimer,discouragement,
condescension,disclaimers,discredit,
condone,disclaiming,discrepant,
condoned,disclaims,discriminate,
confess,disclose,disdain,
confessed,disclosed,disease,
confesses,discloses,diseased,
confessing,disclosing,disgrace,
confession,discontinuance,disguise,
confine,discontinuances,disgust#1,
confine#1,discontinuation,disgust#2,
confine#2,discontinuations,disgust#3,
confined,discontinue,disgust#4,
confinement,discontinued,disgust#5,
confinements,discontinues,dishearten,
confines,discontinuing,dishonest,
confining,discourage,dishonor,
confiscate,discouraged,disingenuous,
confiscated,discourages,disinterest,
confiscates,discouraging,dislike#1,
confiscating,discredit,dislike#2,
confiscation,discredited,dismal,
confiscations,discrediting,dismiss#1,
conflict,discredits,dismiss#2,
conflict#1,discrepancies,disobedience,
conflict#2,discrepancy,disobedient,
conflict#3,disfavor,disorder,
conflict#4,disfavored,disorganized,
conflicted,disfavoring,dispel,
conflicting,disfavors,dispensability,
conflicts,disgorge,dispense,
conform,disgorged,displace,
conformity,disgorgement,displease,
confound,disgorgements,displeasure,
confront,disgorges,disposal,
confrontation,disgorging,dispose#1,
confrontational,disgrace,dispose#2,
confrontations,disgraceful,disproportionate,
confronted,disgracefully,disprove,
confronting,dishonest,disputable,
confronts,dishonestly,dispute#1,
confuse,dishonesty,dispute#2,
confuse#1,dishonor,disregard,
confuse#2,dishonorable,disrupt,
confuse#3,dishonorably,disruption,
confuse#4,dishonored,dissatisfaction,
confused,dishonoring,dissatisfied,
confuses,dishonors,dissatisfy,
confusing,disincentives,dissent,
confusingly,disinterested,dissention,
confusion,disinterestedly,dissolution,
congested,disinterestedness,distort,
congestion,disloyal,distortion,
conspiracies,disloyally,distract,
conspiracy,disloyalty,distracting,
conspirator,dismal,distraction,
conspiratorial,dismally,distress#1,
conspirators,dismiss,distress#2,
conspire,dismissal,distrustful,
conspired,dismissals,disturb#1,
conspires,dismissed,disturb#2,
conspiring,dismisses,disturb#3,
consternation,dismissing,disturbance,
constrain,disorderly,diversion,
constraint,disparage,divert,
consumptive,disparaged,divide#1,
contagious,disparagement,divide#2,
contaminate,disparagements,division,
contamination,disparages,divorce#1,
contempt,disparaging,divorce#2,
contemptible,disparagingly,divorce#3,
contemptuous,disparities,dizzy,
contend,disparity,doldrums,
contended,displace,dominate#1,
contending,displaced,dominate#2,
contends,displacement,dominate#3,
contention,displacements,domination,
contentions,displaces,doom#1,
contentious,displacing,doom#2,
contentiously,dispose,doomsday,
contest#2,dispossess,dope,
contested,dispossessed,double#3,
contesting,dispossesses,double#4,
contraction,dispossessing,doubt#1,
contractions,disproportion,doubt#2,
contradict,disproportional,doubt#4,
contradicted,disproportionate,doubtful,
contradicting,disproportionately,downcast,
contradiction,dispute,downfall,
contradictions,disputed,downhearted,
contradictory,disputes,drab,
contradicts,disputing,drag,
contrary,disqualification,dread,
control#3,disqualifications,dreadful,
controversial,disqualified,dreary,
controversies,disqualifies,drive#2,
controversy,disqualify,droop,
convict,disqualifying,drop#1,
convict#1,disregard,drop#3,
convict#2,disregarded,drop#4,
convicted,disregarding,drought,
convicting,disregards,drown#1,
conviction,disreputable,drown#2,
convictions,disrepute,drowsiness,
cool,disrupt,drowsy,
coolness,disrupted,drunk#1,
corrected,disrupting,drunk#2,
correcting,disruption,drunkard,
correction,disruptions,drunken,
corrections,disruptive,dubious,
corrects,disrupts,dull,
corrode,dissatisfaction,dumb,
corrosion,dissatisfied,dump#1,
corrosive,dissent,dump#2,
corrupt,dissented,dunce,
corrupted,dissenter,dungeon,
corrupting,dissenters,duty,
corruption,dissenting,dwindle,
corruptions,dissents,dying#1,
corruptly,dissident,dying#2,
corruptness,dissidents,eccentric,
cost#1,dissolution,eccentricity,
cost#2,dissolutions,edge#4,
costliness,distort,egotistical,
costly,distorted,eliminate,
counteract,distorting,elimination,
counteraction,distortion,embarrass,
counterclaim,distortions,embarrassment,
counterclaimed,distorts,emergency,
counterclaiming,distract,empty#1,
counterclaims,distracted,empty#2,
counterfeit,distracting,encroach,
counterfeited,distraction,encroachment,
counterfeiter,distractions,endanger,
counterfeiters,distracts,enemy,
counterfeiting,distress,enforce,
counterfeits,distressed,engulf,
countermeasure,disturb,enrage,
countermeasures,disturbance,enslave,
coup,disturbances,entangle,
covert,disturbed,entanglement,
covet,disturbing,entreat,
coward,disturbs,envious,
crack#1,diversion,envy,
crack#2,divert,epidemic,
crafty,diverted,epithet,
cram,diverting,equivocal,
cramp,diverts,eradicate,
cranky,divest,erase,
crass,divested,erode,
crave,divesting,erosion,
crawl#1,divestiture,err,
crawl#2,divestitures,erroneous,
crawl#3,divestment,error,
craze,divestments,esoteric,
craziness,divests,estranged,
crazy,divorce,evade,
credulous,divorced,evasion,
creep#1,divulge,even#3,
creep#2,divulged,evict,
crept,divulges,evil#1,
crime,divulging,evil#2,
crimes,doubt,exaggeration,
criminal,doubted,exasperate,
criminally,doubtful,exasperation,
criminals,doubts,exception#2,
cringe,downgrade,excess,
cripple,downgraded,excessive,
crises,downgrades,exclude,
crisis,downgrading,exclusion,
critic,downsize,excommunication,
critical,downsized,execute,
critically,downsizes,exempt,
criticism,downsizing,exhaust,
criticisms,downsizings,exhaustion,
criticize,downtime,exile,
criticized,downtimes,exit,
criticizes,downturn,expedient,
criticizing,downturns,expel,
croak,downward,expense#1,
crook,downwards,expense#2,
crooked,drag,expensive,
crop#2,drastic,explode,
cross#3,drastically,exploit#2,
cross#6,drawback,explosion,
cross#7,drawbacks,explosive,
crucial,dropped,expose,
crucially,drought,exterminate,
crude,droughts,extermination,
cruel,duress,extinct,
cruelty,dysfunction,extinguish,
crumble,dysfunctional,extravagant,
crumple,dysfunctions,fabricate,
crush#1,easing,fabrication,
crush#2,egregious,fail#1,
crushing,egregiously,fail#2,
culpability,embargo,fail#3,
culpable,embargoed,fail#4,
culpably,embargoes,failure,
culprit,embargoing,faint,
cumbersome,embarrass,fake,
curse#1,embarrassed,fall#7,
curse#2,embarrasses,fallacy,
cursory,embarrassing,fallout,
curt,embarrassment,FALSE,
curtail,embarrassments,falsehood,
curtailed,embezzle,falter,
curtailing,embezzled,famine,
curtailment,embezzlement,famished,
curtailments,embezzlements,fanatic,
curtails,embezzler,fanatical,
cut,embezzles,farce,
cut#1,embezzling,fascist,
cut#2,encroach,fat#1,
cutback,encroached,fat#2,
cutbacks,encroaches,fat#3,
cyberattack,encroaching,fatal,
cyberattacks,encroachment,fatalistic,
cyberbullying,encroachments,fatigue,
cybercrime,encumber,fault,
cybercrimes,encumbered,fear#1,
cybercriminal,encumbering,fear#2,
cybercriminals,encumbers,fear#3,
cynical,encumbrance,fearful,
cynicism,encumbrances,fearsome,
dagger,endanger,fed#2,
damage,endangered,feeble,
damage#1,endangering,feign,
damage#2,endangerment,feint,
damaged,endangers,ferocious,
damages,enjoin,ferocity,
damaging,enjoined,feud,
damn,enjoining,feudal,
damnable,enjoins,fever,
damned,erode,feverish,
dampen,eroded,fiasco,
dampened,erodes,fickle,
danger,eroding,fidget,
dangerous,erosion,fiend,
dangerously,erratic,fierce,
dangers,erratically,fight#1,
dark,erred,fight#2,
darken,erring,fight#3,
darkness,erroneous,fighter,
darn,erroneously,filth,
daunting,error,filthy,
dawdle,errors,fine#6,
daze,errs,fine#7,
dead,escalate,fire#1,
deadlock,escalated,fire#2,
deadlocked,escalates,fire#3,
deadlocking,escalating,fist,
deadlocks,evade,fix#5,
deadly,evaded,flagrant,
deadweight,evades,flaw,
deadweights,evading,fled,
deaf,evasion,flee,
deafness,evasions,fleeting,
deal#6,evasive,flimsy,
dearth,evict,floor#5,
death,evicted,flounder,
debarment,evicting,foe,
debarments,eviction,foible,
debarred,evictions,fool#1,
debatable,evicts,fool#2,
debt,exacerbate,foolish,
debtor,exacerbated,foolishness,
decadence,exacerbates,forbid,
decadent,exacerbating,forbidden,
decay#1,exacerbation,force#3,
decay#2,exacerbations,force#5,
decease,exaggerate,force#6,
deceased,exaggerated,foreboding,
deceit,exaggerates,foreign#2,
