all,LM,GI,HW
ascend,perfects,behalf,
ascent,pleasant,beloved,
ascribe,pleasantly,benefactor,
aspiration,pleased,beneficent,
aspire,pleasure,beneficial,
assent,plentiful,beneficiary,
assert,popular,benefit#1,
assertion,popularity,benefit#2,
assessor,positive,benefit#3,
asset,positively,benevolence,
assign#2,preeminence,benevolent,
assist#1,preeminent,benign,
assist#2,premier,bequeath,
assistance,premiere,best,
assistant,prestige,bestow,
associate#1,prestigious,betroth,
associate#2,proactive,betrothal,
associate#3,proactively,better#1,
association#1,proficiency,better#2,
association#2,proficient,blameless,
assume#1,proficiently,bless#1,
assurance,profitability,bless#2,
assure,profitable,bless#3,
assure#1,profitably,bliss,
assure#2,progress,blissful,
assure#3,progressed,blithe,
assured,progresses,bloom,
assuredly,progressing,blossom,
assures,prospered,board#8,
assuring,prospering,boldness,
astound,prosperity,bolster,
astute,prosperous,bonny,
athletic,prospers,bonus,
atomic,rebound,boom,
attachment,rebounded,boost#1,
attain,rebounding,boost#2,
attained,receptive,boundless,
attaining,regain,bountiful,
attainment,regained,brainy,
attainments,regaining,brave,
attains,resolve,bravery,
attend#1,revolutionize,breadwinner,
attendance,revolutionized,bright,
attentive,revolutionizes,brightness,
attorney,revolutionizing,brilliance,
attract,reward,brilliant,
attraction,rewarded,brotherhood,
attractive,rewarding,brotherly,
attractiveness,rewards,buoyant,
attune,satisfaction,buy#2,
audible,satisfactorily,call#4,
auditor,satisfactory,calm#1,
augment,satisfied,calm#2,
augmentation,satisfies,calm#3,
auspicious,satisfy,calmness,
authentic,satisfying,candid,
authenticity,smooth,candor,
authoritarian,smoothing,capability,
authoritative,smoothly,capable,
authority,smooths,capitalize,
authorize#1,solves,captivation,
authorize#2,solving,care#1,
autonomous,spectacular,care#2,
avail,spectacularly,carefree,
availability,stability,careful,
avid,stabilization,caress#1,
award#1,stabilizations,caress#2,
award#2,stabilize,casual,
aware,stabilized,ceaseless,
awareness,stabilizes,celebrate,
axe,stabilizing,celebration,
back#2,stable,celebrity,
back#3,strength,ceremonial,
back#5,strengthen,champ,
backbone,strengthened,champion,
backer,strengthening,championship,
backing,strengthens,charisma,
balance#1,strengths,charitable,
balance#2,strong,charity,
ball#4,stronger,charm#1,
ball#5,strongest,charm#2,
ball#6,succeed,chaste,
ballot,succeeded,cheer,
balmy,succeeding,cheerful,
band#2,succeeds,cheery,
baptism,success,cherish#1,
baptize,successes,cherish#2,
bargain,successful,cherub,
base#1,successfully,chic,
base#2,superior,chivalrous,
basic#1,surpass,chivalry,
basic#2,surpassed,chosen#2,
beacon,surpasses,chum,
bear#_10,surpassing,civil#1,
bear#2,transparency,civility,
beauteous,tremendous,civilization,
beautiful,tremendously,civilize#1,
beautifully,unmatched,civilize#2,
beautify,unparalleled,clarify,
beauty,unsurpassed,clarity,
befit,upturn,classic,
befitting,upturns,clean#1,
befriend,valuable,clean#3,
behalf,versatile,cleanliness,
beloved,versatility,cleanse,
benefactor,vibrancy,clear#1,
beneficent,vibrant,clear#2,
beneficial,win,clear#3,
beneficially,winner,clear#4,
beneficiary,winners,clear#5,
benefit,winning,clearness,
benefit#1,worthy,clever,
benefit#2,,closeness,
benefit#3,,clout,
benefited,,co-operation,
benefiting,,coax,
benefitted,,coddle,
benefitting,,coexistence,
benevolence,,cogent,
benevolent,,cognizance,
benign,,cognizant,
bequeath,,coherent,
best,,cohesion,
bestow,,cohort,
betroth,,coincident,
betrothal,,collaborate,
better,,collaboration,
better#1,,colleague,
better#2,,colossal,
bicep,,comeback,
big,,comedy,
bishop,,comely,
blameless,,comestible,
bless#1,,comfort#1,
bless#2,,comfort#2,
bless#3,,comfort#3,
bliss,,comfortable,
blissful,,comic,
blithe,,comical,
bloc,,commemorate,
blockade,,commemoration,
bloom,,commencement,
blossom,,commend,
blow#2,,commendable,
board#1,,commendation,
board#8,,commensurate,
body#4,,commission,
bold,,commitment,
boldness,,commodious,
bolster,,common#1,
bolstered,,common#4,
bolstering,,commonsense,
bolsters,,communal,
bond,,commune,
bonny,,communicate#1,
bonus,,communicate#2,
boom,,communicative,
booming,,communion,
boost,,community,
boost#1,,companion,
boost#2,,companionship,
boosted,,company#2,
bore#3,,compassion,
boss,,compassionate,
bound#2,,compatible,
boundless,,compensate,
bountiful,,compensation,
box#4,,competence,
boxer,,competency,
brace#1,,competent,
brace#2,,complement#1,
brainy,,complement#2,
brave,,complementary,
bravery,,complete#1,
breadwinner,,complete#2,
breakthrough,,completeness,
breakthroughs,,completion,
bridge#3,,compliance,
bright,,compliment,
brightness,,composure,
brilliance,,comprehend,
brilliant,,comprehension,
bring#2,,comprehensive,
bring#4,,compromise#1,
broad,,compromise#2,
broaden,,concession,
broadness,,conclusive,
broke#1,,concur,
brotherhood,,condone,
brotherly,,conducive,
build#3,,confederation,
build#4,,confer,
bulk,,confidant,
buoyant,,confide,
burst#1,,confidence#1,
burst#2,,confident,
busy,,congenial,
buy#2,,congratulate,
call#4,,congratulation,
calm#1,,congratulatory,
calm#2,,congregate,
calm#3,,conjunction,
calmness,,conjure,
campaign#1,,connect,
can,,conquer,
candid,,conqueror,
candor,,conquest,
capability,,conscience,
capable,,conscientious,
capacity#1,,consensus,
capital#1,,consent#1,
capitalize,,consent#2,
captain,,conserve,
captivation,,consider#1,
care#1,,consider#2,
care#2,,considerate,
carefree,,consideration#1,
careful,,consign,
caress#1,,consistency,
caress#2,,consistent,
carry#1,,console,
carry#2,,consolidate,
cast#2,,constancy,
cast#3,,constructive,
casual,,consult,
catch#1,,consultation,
catch#4,,consummate,
caught#1,,contact#1,
caught#2,,contact#2,
causal,,content#3,
cause#1,,content#4,
cause#3,,content#5,
cavalry,,contentment,
ceaseless,,continuity,
celebrate,,contribute#1,
celebration,,contribute#2,
celebrity,,contribution,
cement#1,,contributor,
cement#2,,convene,
center#1,,conviction,
center#2,,convince#1,
central,,convince#2,
ceremonial,,cooperate,
certain#1,,cooperation,
certain#2,,cooperative#1,
certain#3,,cooperative#2,
certain#4,,cooperative#3,
certainty,,coordinate,
certificate,,coordination,
certification,,cordial,
certify,,correct#1,
chairman,,correct#2,
chairmen,,correct#3,
champ,,correction,
champion,,council,
championship,,counsel#1,
chancellor,,counsel#2,
channel#2,,courage,
charge#1,,courageous,
charge#8,,courteous,
charge#9,,courtesy,
charisma,,courtly,
charitable,,covenant,
charity,,cozy,
charm#1,,create,
charm#2,,creative,
chaste,,creativity,
cheer,,credentials,
cheerful,,credibility,
cheery,,credible,
cherish#1,,credit#2,
cherish#2,,credit#4,
cherub,,crusade,
chic,,crusader,
chief#1,,cuddle,
chief#2,,culminate,
chief#3,,culmination,
chivalrous,,cultivate#1,
chivalry,,cultivate#2,
chosen#2,,cultivation,
chum,,culture#2,
circle#2,,cupid,
civil#1,,cure#1,
civility,,cure#2,
civilization,,curtsey,
civilize#1,,cute,
civilize#2,,dance#1,
clarify,,dance#2,
clarity,,dance#3,
classic,,dare,
clean#1,,daring,
clean#3,,darling,
cleanliness,,dauntless,
cleanse,,dawn#2,
clear#1,,dazzle,
clear#2,,deal#1,
clear#3,,dear#1,
clear#4,,dear#2,
clear#5,,decency,
clear#6,,decent,
clearness,,decipher,
clever,,decorate,
climax,,decoration,
climb,,decorative,
closeness,,dedicate#1,
clout,,dedicate#2,
club#1,,dedication,
cluster#1,,deduce,
cluster#2,,defend,
coalition,,defender,
coax,,defense,
coddle,,deference,
coexistence,,definitive,
cogent,,delicacy,
cognizance,,delicate,
cognizant,,delight#1,
coherent,,delight#2,
cohesion,,delightful,
cohort,,dependability,
coincident,,dependable,
collaborate,,descry,
collaborated,,deserve,
collaborates,,deservedly,
collaborating,,desirable,
collaboration,,desirous,
collaborations,,devote#1,
collaborative,,devote#2,
collaborator,,devotion,
collaborators,,devout,
collar#2,,dexterity,
colleague,,dig#1,
collect#1,,dignified,
collective,,dignify,
colonel,,dignity,
colossal,,diligent,
combine#1,,discern,
combine#2,,discreet,
combustion,,discretion,
comeback,,discuss,
comedy,,distinct,
comely,,distinction,
comestible,,distinctive,
comfort#1,,distinguish#1,
comfort#2,,distinguish#2,
comfort#3,,distinguished,
comfortable,,divine#1,
comic,,divine#2,
comical,,divinity,
command#1,,dominance,
command#2,,donate,
commander,,donation,
commemorate,,dote,
commemoration,,doubtless,
commencement,,dreamland,
commend,,durability,
commendable,,durable,
commendation,,dynamic,
commensurate,,eager,
commission,,eagerness,
commissioner,,earnest,
commitment,,earnestness,
committee,,ease#1,
commodious,,ease#2,
common#1,,easy#1,
common#4,,easy#2,
commonsense,,easy#3,
commonwealth,,easy#4,
communal,,economize,
commune,,ecstasy,
communicate#1,,ecstatic,
communicate#2,,edible,
communicative,,educated#1,
communion,,education,
community,,educational,
companion,,effective,
companionship,,effectiveness,
company#1,,efficacy,
company#2,,efficiency,
compassion,,efficient,
compassionate,,elaborate,
compatible,,elaboration,
compensate,,elate,
compensation,,elegance,
competence,,elegant,
competency,,eloquent,
competent,,embellish,
complement#1,,embrace#1,
complement#2,,embrace#2,
complementary,,eminence,
complete#1,,eminent,
complete#2,,empathy,
complete#4,,empower,
completeness,,empowerment,
completion,,enable,
compliance,,enchant#1,
compliment,,enchant#2,
complimentary,,enchantment,
complimented,,encourage#1,
complimenting,,encourage#2,
compliments,,encouragement,
composure,,endear,
compound#1,,endorse,
compound#2,,endow,
comprehend,,endurance,
comprehension,,energetic,
comprehensive,,energize,
compress#1,,engage#5,
compress#2,,enhance,
compression,,enhancement,
compromise#1,,enjoy,
compromise#2,,enjoyable,
concentrate#1,,enjoyment,
concentrate#2,,enlighten#1,
concentration#1,,enlighten#2,
concentration#2,,enlightenment,
concession,,enrich,
conclusive,,enrichment,
conclusively,,ensemble,
concrete,,ensure,
concur,,entertain#1,
condone,,entertain#2,
conducive,,entertainment,
confederation,,enthusiasm,
confer,,enthusiastic,
confidant,,entrepreneurial,
confide,,entrust,
confidence#1,,envision,
confident,,equality,
confirm#1,,equitable,
confirm#2,,equity,
confirmation,,essential#1,
congenial,,essential#2,
congratulate,,establish#1,
congratulation,,establish#2,
congratulatory,,esteem,
congregate,,ethical,
congregation,,ethics,
congress#1,,etiquette,
congress#2,,even#4,
congressional,,even#5,
congressman,,everlasting,
congressmen,,exact#1,
conjunction,,exact#2,
conjure,,exalt,
connect,,excel,
conquer,,excellence,
conqueror,,excellent,
conquest,,excite#1,
conscience,,excite#2,
conscientious,,excited#2,
consensus,,excitedness,
consent#1,,excitement,
consent#2,,exertion,
conserve,,exhilaration,
consider#1,,exotic,
consider#2,,experience#1,
considerable#1,,experience#3,
considerable#2,,expert#1,
considerate,,expert#2,
consideration#1,,exquisite,
consign,,extol,
consistency,,extraordinary,
consistent,,extravagance,
console,,exuberance,
consolidate,,exuberant,
constable,,exult,
constancy,,exultation,
constant#1,,eye#3,
constant#2,,fabulous,
constitute,,facilitate,
constitution,,factual,
constitutional,,fair#1,
construct,,fair#4,
construction,,fair#5,
constructive,,fairness,
constructively,,faith#1,
consult,,faith#2,
consultation,,faithful,
consummate,,faithfulness,
contact#1,,fame,
contact#2,,familiar,
contain,,familiarity,
content#3,,familiarize,
content#4,,famous,
content#5,,fancy,
contention,,fantastic,
contentment,,fantasy,
contest#1,,farsighted,
contest#2,,fascination,
continual#1,,fashionable,
continual#2,,favor#1,
continue#1,,favor#2,
continue#2,,favor#3,
continuity,,favor#4,
continuous,,favor#5,
contract#1,,favorable,
contribute#1,,favorite,
contribute#2,,fearless,
contribution,,feasible,
contributor,,feast#1,
control#1,,feast#2,
control#2,,fellow#2,
control#3,,fellowship,
control#4,,fertile,
controller,,fervent,
convene,,fervor,
convert#2,,festival,
conviction,,festive,
convince#1,,festivity,
convince#2,,fidelity,
convinced#1,,fiery,
convinced#2,,filial,
cooperate,,fill#4,
cooperation,,fine#1,
co-operation,,fine#2,
cooperative#1,,fine#3,
cooperative#2,,fine#4,
cooperative#3,,fine#5,
coordinate,,firmness,
coordination,,fit#2,
cop,,fit#5,
cordial,,fitness,
core,,flair,
corporal,,flashy,
corporate,,flatter,
corporation,,flattery,
correct#1,,flaunt,
correct#2,,flawless,
correct#3,,flexible,
correction,,flirt,
council,,flourish,
counsel#1,,fluent,
counsel#2,,fond#1,
countless,,fond#2,
courage,,fond#3,
courageous,,fond#4,
court#1,,fond#5,
court#3,,fond#6,
courteous,,fond#7,
courtesy,,fondness,
courtly,,foremost,
covenant,,foresight,
cover#2,,forgave,
cozy,,forgive,
cream#2,,forgiven,
create,,forgiveness,
creation,,formality,
creative,,fortify,
creatively,,fortitude,
creativeness,,fortunate,
creativity,,forward#1,
creator,,foster,
credentials,,fragrant,
credibility,,frank,
credible,,free#1,
credit#2,,free#2,
credit#4,,free#3,
crowd#1,,free#4,
crowd#3,,free#5,
crown#1,,freedom,
crown#2,,fresh,
crusade,,friend,
crusader,,friendly,
cuddle,,friendship,
culminate,,frolic,
culmination,,frugal,
cultivate#1,,fruitful,
cultivate#2,,fruition,
cultivation,,fulfill,
culture#2,,fulfillment,
cumulative,,fullness,
cupid,,fun#1,
curb#2,,funny#1,
cure#1,,funny#2,
cure#2,,funny#3,
curtsey,,gaiety,
cute,,gaily,
dance#1,,gain#1,
dance#2,,gain#2,
dance#3,,gallant,
dare,,gallantry,
daring,,game#3,
darling,,garnish,
dauntless,,gay,
dawn#2,,generate,
dazzle,,generosity,
deal#1,,generous,
dean,,genial,
dear#1,,genius,
dear#2,,gentle,
decency,,genuine,
decent,,giddy,
decide#1,,gift,
decide#2,,gifted,
decide#3,,give#1,
decipher,,give#4,
decision,,glad#1,
decisive,,glad#2,
declaration,,gladden,
declare,,gladness,
decorate,,glamorous,
decoration,,glamour,
decorative,,gleam#1,
dedicate#1,,gleam#2,
dedicate#2,,glean,
dedication,,glee,
deduce,,glimmer,
deep#1,,glisten#1,
deep#2,,glisten#2,
deep#3,,glitter#1,
deep#4,,glitter#2,
deepen,,glorify,
defend,,glorious,
defender,,glory,
defense,,glossy,
deference,,glow#1,
definite,,glow#2,
definitive,,godlike,
delegate,,godliness,
delegation,,gold,
deliberate#1,,golden,
deliberate#2,,good#1,
delicacy,,goodbye,
delicate,,goodness,
delight,,gorgeous,
delight#1,,grace,
delight#2,,graceful,
delighted,,gracious,
delightful,,graduation,
delightfully,,grand,
delighting,,grandeur,
delights,,grateful,
deliver,,gratification,
delivery,,gratify,
demand#1,,gratitude,
demand#2,,great#1,
demand#3,,great#2,
demand#4,,great#3,
demonstrate,,greatness,
demonstration#1,,greet#1,
demonstration#2,,greet#2,
dense,,groom,
density,,guarantee#1,
dependability,,guarantee#2,
dependable,,guardian,
deploy,,guide#1,
depth,,guide#2,
descry,,guide#4,
deserve,,gusto,
deservedly,,hallowed,
designate#2,,hand#9,
desirable,,handsome,
desired,,handy,
desirous,,happiness,
despite,,happy#1,
destined,,happy#2,
destiny,,happy#3,
determination,,happy#4,
determine#1,,hardy,
determine#2,,harmless,
determine#3,,harmonious,
develop,,harmonize,
development,,harmony,
devote#1,,harness,
devote#2,,haven,
devotion,,heal,
devout,,health,
dexterity,,healthful,
dictator,,healthy#1,
dictatorship,,healthy#2,
dig#1,,healthy#3,
dignified,,heart#4,
dignify,,heartily,
dignity,,heaven,
diligent,,heavenly,
diligently,,help#1,
diplomacy,,help#2,
diplomatic,,help#4,
direct#1,,helpful,
direct#2,,hero,
direct#3,,heroic,
direction#2,,heroine,
director,,heroism,
discern,,highlight,
discipline#1,,hilarious,
discipline#2,,hit#5,
discreet,,holy,
discretion,,homage,
discuss,,home,
displacement,,honest#1,
dissolve#1,,honest#2,
dissolve#2,,honest#3,
distinct,,honeymoon,
distinction,,honor#1,
distinctions,,honor#2,
distinctive,,honor#3,
distinctively,,honorable,
distinctiveness,,hope#1,
distinguish#1,,hope#2,
distinguish#2,,hopeful,
distinguished,,hospitable,
divine#1,,hug,
divine#2,,human,
divinity,,humanitarian,
do#1,,humanity,
dominance,,humble,
dominant,,humility,
donate,,humor,
donation,,humorous,
done,,hygiene,
dote,,ideal#1,
double#1,,ideal#2,
double#2,,ideal#3,
double#7,,idealism,
doubtless,,idol,
draft#1,,idolize,
draw#3,,illuminate,
dream,,illustrious,
dreamland,,imagination,
drive#1,,imaginative,
drive#5,,immaculate,
drive#6,,immortal,
drove#1,,impartial,
durability,,impartiality,
durable,,imperative,
dynamic,,impervious,
eager,,impetus,
eagerness,,importance,
earn#1,,important,
earn#2,,impress#1,
earn#3,,impressive,
earner,,improve#1,
earnest,,improve#2,
earnestness,,improve#3,
ease#1,,improvement,
ease#2,,impunity,
easier,,inaugurate,
easily,,inauguration,
easy,,independence,
easy#1,,independent#1,
easy#2,,independent#2,
easy#3,,indescribable,
easy#4,,indicative,
economize,,indispensability,
ecstasy,,indispensable,
ecstatic,,individuality,
edible,,indomitable,
editor,,indulgence,
educate,,industrious,
educated#1,,inexpensive,
educated#2,,infallibility,
education,,infallible,
educational,,infer,
effect#2,,inference,
effective,,inform#1,
effectiveness,,inform#2,
efficacy,,ingenious,
efficiencies,,ingenuity,
efficiency,,inherit,
efficient,,innocence,
efficiently,,innocent,
elaborate,,innovate,
elaboration,,innovative,
elate,,inquisitive,
elder#1,,inseparable,
elder#2,,insight,
elect#1,,insistent,
elect#2,,inspiration,
election,,inspirational,
electoral,,inspire#1,
elegance,,inspire#2,
elegant,,instinctive,
elevate#1,,integrity,
elevate#2,,intellect,
elite,,intellectual#1,
eloquent,,intellectual#2,
emancipation,,intellectual#3,
embassy,,intelligence,
embellish,,intelligent,
embrace#1,,intelligible,
embrace#2,,intercede,
eminence,,intercourse,
eminent,,interest#1,
empathy,,interest#3,
emperor,,interest#4,
emphasis,,interested#1,
emphasize,,interested#2,
emphatic,,interpose,
employ,,intimacy,
employer,,intimate,
empower,,intricate,
empowered,,intrigue,
empowering,,invaluable,
empowerment,,inventor,
empowers,,invincible,
enable,,invitation,
enabled,,invite#1,
enables,,invite#2,
enabling,,invulnerable,
enact,,irresistible,
enactment,,jest,
enchant#1,,join#2,
enchant#2,,jointly,
enchantment,,joke#1,
enclose#1,,joke#2,
enclose#2,,joke#3,
encompass,,jolly,
encourage#1,,joy,
encourage#2,,joyful,
encouraged,,jubilant,
encouragement,,jubilee,
encourages,,just#3,
encouraging,,just#4,
endear,,justice,
endless,,justifiably,
endorse,,justification,
endow,,justify,
endurance,,keen,
endure#1,,kid#2,
endure#2,,kind#2,
energetic,,kind#5,
energize,,kindness,
energy,,kiss#1,
enforcement,,kiss#2,
engage#5,,know#3,
enhance,,know#4,
enhanced,,knowledge,
enhancement,,laudable,
enhancements,,laugh#1,
enhances,,laugh#2,
enhancing,,laugh#5,
enjoy,,laugh#6,
enjoyable,,laughter,
enjoyably,,lavish,
enjoyed,,law,
enjoying,,lawful,
enjoyment,,lead#4,
enjoys,,learn#2,
enlighten#1,,learn#3,
enlighten#2,,learner,
enlightenment,,legal,
enormous,,legitimacy,
enrich,,legitimate,
enrichment,,leisure,
ensemble,,liberal#2,
ensure,,liberal#3,
enterprise,,liberalism,
entertain#1,,liberate,
entertain#2,,liberty,
entertainment,,lifelong,
enthusiasm,,light#1,
enthusiastic,,light#3,
enthusiastically,,likable,
entire,,like#2,
entitle,,like#3,
entrepreneurial,,live#6,
entrust,,lively,
envision,,logic,
equal#3,,logical,
equality,,longevity,
equilibrium,,love#1,
equip,,love#2,
equitable,,love#3,
equity,,love#4,
erect#1,,loveliness,
erect#2,,lovely,
escape#1,,lover#1,
escape#2,,lover#2,
essence,,loyal,
essential#1,,loyalty,
essential#2,,lucid,
establish#1,,luck,
establish#2,,luckily,
esteem,,lucky,
eternal,,lucrative,
ethical,,luminous,
ethics,,lust,
etiquette,,luster,
even#4,,lustrous,
even#5,,luxuriant,
ever#3,,luxurious,
everlasting,,luxury,
every,,lyric,
evidence#1,,lyrical,
evidence#2,,magical,
exact#1,,magnetic,
exact#2,,magnificence,
exact#3,,magnificent,
exact#4,,main#1,
exalt,,majestic,
examine,,majesty,
examiner,,major#1,
exceed,,make#6,
excel,,make#7,
excellence,,manageable,
excellent,,manly,
excelling,,marital,
excels,,marriage,
exceptional,,marry#1,
exceptionally,,marry#2,
excite#1,,marvel,
excite#2,,marvelous,
excited,,masterful,
excited#2,,mastery,
excitedness,,matchless,
excitement,,mate#1,
exciting,,mate#2,
