DATE,GDP
2012/1/1,16068.824
2012/4/1,16207.13
2012/7/1,16319.54
2012/10/1,16420.386
2013/1/1,16629.05
2013/4/1,16699.551
2013/7/1,16911.068
2013/10/1,17133.114
2014/1/1,17144.281
2014/4/1,17462.703
2014/7/1,17743.227
2014/10/1,17852.54
2015/1/1,17991.348
2015/4/1,18193.707
2015/7/1,18306.96
2015/10/1,18332.079
2016/1/1,18425.306
2016/4/1,18611.617
2016/7/1,18775.459
2016/10/1,18968.041
2017/1/1,19153.912
2017/4/1,19322.92
2017/7/1,19558.693
2017/10/1,19882.965
2018/1/1,20143.716
2018/4/1,20492.492
2018/7/1,20659.102
2018/10/1,20813.325
2019/1/1,21001.591
2019/4/1,21289.268
2019/7/1,21505.012
2019/10/1,21694.458
2020/1/1,21481.367
2020/4/1,19477.444
2020/7/1,21138.574
2020/10/1,21477.597
2021/1/1,22038.226
2021/4/1,22740.959
2021/7/1,23202.344
2021/10/1,24002.815
